Title,Company,Location,Link
[코레이즈] Python (Flask) 웹 개발자 채용 경력 (2~5년차),(주)코레이즈홀딩스,서울성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43232821#seq=0
python-Flask 서버 개발자 모집,(주)원모어시큐리티,세종특별자치시,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43344275#seq=0
"백엔드 경력직 엔지니어 (Flask, Django)",(주)펍스케일파트너스,서울성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43396616#seq=0
웹 자동화 개발자 (Python&Flask) 모집 공고,(주)워로브라더스,경기하남시,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42915426#seq=0
[인젠트] 신기술 R&D팀_AI 기술 및 제품 개발자 채용,(주)인젠트,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43101370#seq=0
[(주)인젠트-R&D센터] 2022년 하반기 IT개발자 모집,(주)인젠트,서울영등포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43173957#seq=0
"C#, Python, JAVA 소프트웨어 개발자 채용 (신입/경력)",(주)미래로시스템,경기용인시 기흥구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43220126#seq=0
[토스] IT Ops Engineer,(주)비바리퍼블리카,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43012386#seq=0
백엔드 개발자,(주)컨택틱,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43366028#seq=0
[직영] DYB최선어학원 각 부문 STAFF 모집,(주)DYB최선어학원,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43089223#seq=0
[넥타르소프트] 데이터관리/음성챗봇 채용(경력/신입),(주)넥타르소프트,서울마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42959521#seq=0
"[신입/정규] 온라인 광고 플랫폼 개발 (Python, PHP)",(주)니트머스,서울중구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43106887#seq=0
IT개발·데이터/디자인 외 각 분야별 채용,케이원에코텍(주),대구달성군,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43085266#seq=0
[주4.5일] 딥러닝 연구 개발자,(주)인라이플,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41840373#seq=0
"[아크릴] AI 플랫폼 Front-end, Back-end, kubernetes 개발자",(주)아크릴,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43216998#seq=0
[패스트파이브] 시니어 백엔드 개발자 (Python),패스트파이브(주),서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43228043#seq=0
[주식회사 아크릴] 분야별 상시 모집 공고,(주)아크릴,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43224407#seq=0
[패스트파이브] 주니어 백엔드 개발자 (Python),패스트파이브(주),서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43228023#seq=0
[주4.5일] Python 개발직무 경력 채용,(주)인라이플,서울구로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43243813#seq=0
[주4.5일근무] 인공지능연구소 딥러닝 연구개발자 채용,(주)인라이플,서울구로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43291534#seq=0
(주)경성테크놀러지 2022년 시니어 개발자 모집,(주)경성테크놀러지,부산해운대구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43379416#seq=0
[정규직] 프롭테크 React / Java 개발자 채용,빅테크플러스(주),서울관악구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43172674#seq=0
융합기술개발팀 서버 개발자 채용,(주)클로봇,경기성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43352666#seq=0
[융합기술개발팀] 서버 개발자,(주)클로봇,경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43352842#seq=0
BI 분석 솔루션 개발자,(주)아이엠비디엑스,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42369403#seq=0
Dev Lead,(주)뉴빌리티,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42582802#seq=0
"[아기유니콘 선정,가족친화인증] 2022 IMBdx 각 부분 직원 모집",(주)아이엠비디엑스,서울금천구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43209524#seq=0
Sr. Back-end Developer,(주)뉴빌리티,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43291857#seq=0
[경력] 개발팀 백엔드 개발자 채용 공고,(주)에이아이스페라,서울성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43317366#seq=0
[웨이브릿지] IT 개발자 직군 모집 (전문연구요원 지원 가능),(주)웨이브릿지,서울영등포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43360703#seq=0
대규모 투자유치로 급성장중인 스타트업 '패스오더' 전직군 채용,(주)페이타랩,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41977352#seq=0
전략사업본부 메타버스팀 부문별 직원 채용,(주)피플앤스토리,경남김해시,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43056260#seq=0
AI소프트웨어 및 웹 개발 신입 및 경력 채용,(주)크레스콤,경기성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43349875#seq=0
[입사축하금1천+초봉5천] 신사업 커머스 백엔드 엔지니어 (Python/2년이상),(주)버즈니,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41954896#seq=0
[입사축하금 1천] Python 백엔드 개발자,(주)버즈니,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41527915#seq=0
[전문연구요원/신입가능] 백엔드 엔지니어 - 병역특례,(주)버즈니,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41612881#seq=0
"[입사축하금1천+초봉5천] 신사업 백엔드 엔지니어 (Python, Docker) -3년 이상",(주)버즈니,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42042970#seq=0
"[입사축하금1천+초봉5천] 커머스 백엔드 엔지니어 (Python, Docker)",(주)버즈니,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41527885#seq=0
2022 스타트업 웰리시스 신입사원 채용,(주)웰리시스,서울서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43213959#seq=0
2022 스타트업 웰리시스 경력사원 채용,(주)웰리시스,서울서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43223825#seq=0
